TIME,LX,LY,RX,RY
555412666,446.04,430.56,439.67,441.15
555414596,446.81,435.02,437.11,441.41
555416607,442.94,429.02,435.19,439.51
555418596,445.92,429.94,439.45,435.27
555420588,444.99,436.01,441.52,440.67
555422596,445.92,432.76,441.89,443.01
555424596,439.37,428.09,436.11,443.66
555426595,443.78,432.74,436.08,448.31
555428598,441.23,425.92,438.58,446.64
555430594,442.49,433.56,444.18,445.26
555432582,440.21,429.41,434.14,444.64
555434599,446.05,430.85,431.88,441.13
555436595,444.48,430.55,440.96,443.27
555438593,448.48,427.48,434.25,442.66
555440593,448.76,426.01,439.56,449.88
555442591,451.56,427.26,439.05,439.96
555444596,436.89,435.56,433.71,449.33
555446596,444.8,430.23,437.36,442.69
555448604,443.74,431.98,436.07,446.63
555450605,439.08,422.37,436.21,445.05
555452604,452.4,426.13,432.86,443.83
555454623,444.64,430.88,433.27,450.32
555456588,451.41,429.25,427.54,439.92
555458589,455.16,428.62,436.14,445.08
555460604,445.11,429.87,433.02,444.63
555462608,443.99,435.3,434.33,438.31
555464606,450.08,430.03,440.38,443.7
555466605,440.37,429.29,432.89,446.81
555468605,435.2,437.6,443.87,445.74
555470605,449.15,431.19,439.27,436.94
555472606,459.55,416.79,440.58,447.59
555474605,478.62,423.7,457.71,433.28
555476609,490.91,426.53,484.45,443.69
555478608,489.3,435.2,492.98,430.72
555480603,499.52,422.06,493.65,436.69
555482605,521.49,427.23,503.71,429.07
555484606,526.12,429.4,518.8,445.12
555486605,528.21,421.67,524.62,441.23
555488605,527.4,425.66,528.25,434.52
555490604,526.55,421.32,527.37,435.27
555492605,526.43,418.7,536.66,434.87
555494624,532.82,418.4,531.48,435.96
555496652,533.39,419.07,532.67,434.61
555498614,542.1,413.97,531.61,435.45
555500616,530.32,421.62,529.3,441.58
555502615,532.79,413.15,536.02,441.87
555504619,531.16,425.07,524.21,434.83
555506615,526.24,415.5,530.45,439.96
555508601,529.82,424.52,532.54,445.98
555510622,529.14,412.82,537.36,435.53
555512616,530.64,419.84,530.94,444.52
555514616,536.08,427.86,531.25,440.46
555516591,531.9,414.92,532.95,436.34
555518607,534.16,422.3,532.5,440.85
555520621,533.62,417.12,537.61,441.97
555522620,536.12,422.17,532.51,436.09
555524618,538.1,416.75,528.49,434.39
555526616,535.88,419.66,522.21,444.52
555528616,532.27,422.31,526.22,432.16
555530616,528.35,424.81,534.83,430.47
555532611,529.78,412.74,532.93,435.68
555534615,533.68,419.98,525.79,431.23
555536628,529.3,416.81,536.4,435.09
555538615,538.98,418.66,533.05,440.56
555540627,531.95,415.77,530,434.44
555542625,532.22,425.36,529.74,435.57
555544626,528.39,410.33,525.99,427.99
555546624,536.55,414.33,523.33,439.76
555548626,525.75,422.13,529.46,436.04
555550624,537.26,419.22,532.05,434.95
555552622,533.46,423.29,527.48,436.02
555554625,539.1,414.92,527.38,437.79
555556625,532.12,419.77,522.22,439.24
555558616,528.99,413.33,524.25,432.79
555560641,534.39,417.65,521.55,427.64
555562626,527.65,415.13,519.26,440.19
555564626,533.69,418.5,518.3,438.73
555566626,528.9,417.41,522.78,430.98
555568627,529.45,420.13,525.53,428.53
555570626,529.39,418.86,518.5,439.58
555572628,534.45,412.01,514.92,437.43
555574623,528.13,419.33,528.38,436.28
555576627,532.8,418.62,522.75,434.26
555578609,532.25,401.57,521.95,433.02
555580685,531.16,419.7,515.07,437.14
555582632,530.71,411.59,519.22,436.59
555584628,537.53,414.85,508.84,435.57
555586635,530.51,417.52,516.11,433.85
555588634,523.98,416.36,513.68,430.29
555590633,535.51,419.8,516.24,437.49
555592622,534.1,424.94,514.25,430.76
555594622,525.68,416.56,513.12,441.23
555596619,533.34,419.33,518.18,441.45
555598610,533.64,420.36,512.62,441.05
555600637,537.92,417.68,516.55,427.78
555602635,530.91,413.82,517.87,434.56
555604636,537.23,413.1,516.33,434.16
555606636,532.39,419.4,518.77,438.73
555608623,528.68,415.48,518.58,438.27
555610632,530.97,409.83,518.69,434.06
555612638,536.1,412.48,515.28,434.11
555614639,536.08,422.77,521.74,439.76
555616637,528.06,422.06,519.98,436.3
555618648,536.6,424.25,514.84,429.67
555620642,538.86,411.5,514.85,440.91
555622635,528.98,411.47,517.27,436.96
555624636,538.61,415.57,515.62,434.33
555626633,539.23,420.16,513.48,436.6
555628635,538.88,425.34,519.21,436.38
555630633,527.59,409.9,515.82,440.23
555632645,525.97,416.91,517.3,438.31
555634645,530.01,418.04,525.69,437.35
555636644,525.35,410.15,521.2,436.34
555638645,535.05,411,521.35,433.77
555640630,535.02,417.06,520.18,433.85
555642641,537.3,418.03,519.64,432.16
555644656,532.46,408.66,519.83,434.04
555646646,529.97,415.37,519.58,434.16
555648646,537.98,416.2,521.08,440.69
555650644,531.48,426.49,522.61,442.51
555652649,533.35,415.97,520.43,430.87
555654643,529.34,425.13,522.41,439.98
